Date,CAD_Assets,CAD_Liabilities,Net_Exposure_CAD
2018-03-11,998124.1664851903,200000,798124.1664851903
2018-03-12,1003176.3051010945,200000,803176.3051010945
2018-03-13,1009079.0717212188,200000,809079.0717212188
2018-03-14,1001229.3205086755,200000,801229.3205086755
2018-03-15,1009251.2307986318,200000,809251.2307986318
2018-03-16,988348.8488144495,200000,788348.8488144495
2018-03-17,1005576.6486721109,200000,805576.6486721109
2018-03-18,1001921.933306762,200000,801921.933306762
2018-03-19,1000011.2230285783,200000,800011.2230285783
2018-03-20,1001984.6254789216,200000,801984.6254789216
2018-03-21,991607.5388385761,200000,791607.5388385761
2018-03-22,1000466.5857877295,200000,800466.5857877295
2018-03-23,1003370.0698998122,200000,803370.0698998122
2018-03-24,1008993.5390812976,200000,808993.5390812976
2018-03-25,999032.2795815582,200000,799032.2795815582
2018-03-26,997600.7244737969,200000,797600.7244737969
2018-03-27,999153.9690856767,200000,799153.9690856767
2018-03-28,1006259.3267074462,200000,806259.3267074462
2018-03-29,1003345.6334825708,200000,803345.6334825708
2018-03-30,999072.6387307736,200000,799072.6387307736
2018-03-31,1004307.338730512,200000,804307.338730512
2018-04-01,1002245.9511270219,200000,802245.9511270219
2018-04-02,1006623.3501482826,200000,806623.3501482826
2018-04-03,998289.4215415679,200000,798289.4215415679
2018-04-04,1000180.9380933022,200000,800180.9380933022
2018-04-05,999878.2698759667,200000,799878.2698759667
2018-04-06,994540.7977163034,200000,794540.7977163034
2018-04-07,1003358.5356576233,200000,803358.5356576233
2018-04-08,1003202.7724485364,200000,803202.7724485364
2018-04-09,1001942.6251861857,200000,801942.6251861857
2018-04-10,1000763.6840514342,200000,800763.6840514342
2018-04-11,994879.3278233942,200000,794879.3278233942
2018-04-12,999872.516735156,200000,799872.516735156
2018-04-13,1000281.7325816854,200000,800281.7325816854
2018-04-14,998003.4806335476,200000,798003.4806335476
2018-04-15,1001228.0002366621,200000,801228.0002366621
2018-04-16,1004074.2448944013,200000,804074.2448944013
2018-04-17,1011504.4819317177,200000,811504.4819317177
2018-04-18,1002966.0033051608,200000,802966.0033051608
2018-04-19,1003400.4280099518,200000,803400.4280099518
2018-04-20,1001760.0082928436,200000,801760.0082928436
2018-04-21,992557.9436105157,200000,792557.9436105157
2018-04-22,1002038.7921251013,200000,802038.7921251013
2018-04-23,1002492.074367389,200000,802492.074367389
2018-04-24,1014526.6956954468,200000,814526.6956954468
2018-04-25,1001268.2421244512,200000,801268.2421244512
2018-04-26,1003757.3454753613,200000,803757.3454753613
2018-04-27,1002095.6117305035,200000,802095.6117305035
2018-04-28,996445.3422062686,200000,796445.3422062686
2018-04-29,1008022.4082822778,200000,808022.4082822778
2018-04-30,1006087.521188473,200000,806087.521188473
2018-05-01,1006302.5775755908,200000,806302.5775755908
2018-05-02,997820.0423817383,200000,797820.0423817383
2018-05-03,1009400.513025729,200000,809400.513025729
2018-05-04,995396.8479724235,200000,795396.8479724235
2018-05-05,1005359.9505707228,200000,805359.9505707228
2018-05-06,1013397.5050461078,200000,813397.5050461078
2018-05-07,997512.1071067409,200000,797512.1071067409
2018-05-08,999652.8618997169,200000,799652.8618997169
2018-05-09,1003002.1691885055,200000,803002.1691885055
2018-05-10,1000006.0959078227,200000,800006.0959078227
2018-05-11,994789.7188384095,200000,794789.7188384095
2018-05-12,1002905.4126831068,200000,802905.4126831068
2018-05-13,997270.6410557826,200000,797270.6410557826
2018-05-14,1004969.6835929255,200000,804969.6835929255
2018-05-15,998024.1620839171,200000,798024.1620839171
2018-05-16,1010390.5170955101,200000,810390.5170955101
2018-05-17,998744.1404240777,200000,798744.1404240777
2018-05-18,1001069.661120067,200000,801069.661120067
2018-05-19,1006767.1166032803,200000,806767.1166032803
2018-05-20,996564.7707495986,200000,796564.7707495986
2018-05-21,1003875.9538201254,200000,803875.9538201254
2018-05-22,1009293.9297338534,200000,809293.9297338534
2018-05-23,994740.3616049716,200000,794740.3616049716
2018-05-24,1003720.5088857757,200000,803720.5088857757
2018-05-25,1004116.3153796928,200000,804116.3153796928
2018-05-26,1006745.5775826736,200000,806745.5775826736
2018-05-27,996671.2714847332,200000,796671.2714847332
2018-05-28,996273.3037890387,200000,796273.3037890387
2018-05-29,1005504.856497881,200000,805504.856497881
2018-05-30,1004399.633851299,200000,804399.633851299
2018-05-31,1004186.7365521989,200000,804186.7365521989
2018-06-01,1004686.0751632908,200000,804686.0751632908
2018-06-02,999573.27232325,200000,799573.27232325
2018-06-03,1004154.2262322839,200000,804154.2262322839
2018-06-04,1004477.8819283088,200000,804477.8819283088
2018-06-05,999460.3242870199,200000,799460.3242870199
2018-06-06,1012380.515748212,200000,812380.515748212
2018-06-07,1005440.3696123837,200000,805440.3696123837
2018-06-08,997134.2493371479,200000,797134.2493371479
2018-06-09,1006393.0966816668,200000,806393.0966816668
2018-06-10,998256.4821026975,200000,798256.4821026975
2018-06-11,1007084.8752878829,200000,807084.8752878829
2018-06-12,1008961.991979544,200000,808961.991979544
2018-06-13,999085.1643080849,200000,799085.1643080849
2018-06-14,1008025.0183614015,200000,808025.0183614015
2018-06-15,1005291.6041651989,200000,805291.6041651989
2018-06-16,1007357.5621458254,200000,807357.5621458254
2018-06-17,1012750.7880744591,200000,812750.7880744591
2018-06-18,1002059.4443965114,200000,802059.4443965114
2018-06-19,999537.2659700748,200000,799537.2659700748
2018-06-20,998877.9364590711,200000,798877.9364590711
2018-06-21,999266.018997708,200000,799266.018997708
2018-06-22,1002979.1236908011,200000,802979.1236908011
2018-06-23,1005089.9539272913,200000,805089.9539272913
2018-06-24,1004787.2098651946,200000,804787.2098651946
2018-06-25,1007559.2339290611,200000,807559.2339290611
2018-06-26,1003507.888958607,200000,803507.888958607
2018-06-27,1010730.1117003405,200000,810730.1117003405
2018-06-28,1002158.7189637007,200000,802158.7189637007
2018-06-29,1017102.410778175,200000,817102.410778175
2018-06-30,1006649.4634993884,200000,806649.4634993884
2018-07-01,999254.9007938184,200000,799254.9007938184
2018-07-02,998205.7879009307,200000,798205.7879009307
2018-07-03,1005992.1742827886,200000,805992.1742827886
2018-07-04,1002482.06009528,200000,802482.06009528
2018-07-05,1007188.9383077062,200000,807188.9383077062
2018-07-06,1006004.6857754498,200000,806004.6857754498
2018-07-07,1003293.9149046342,200000,803293.9149046342
2018-07-08,999443.6526929131,200000,799443.6526929131
2018-07-09,996122.9469751621,200000,796122.9469751621
2018-07-10,1001484.1701535928,200000,801484.1701535928
2018-07-11,1008018.3007008818,200000,808018.3007008818
2018-07-12,1004826.3372652519,200000,804826.3372652519
2018-07-13,997546.7364663774,200000,797546.7364663774
2018-07-14,1004660.8968045297,200000,804660.8968045297
2018-07-15,1005741.1408892545,200000,805741.1408892545
2018-07-16,999414.8286249411,200000,799414.8286249411
2018-07-17,1004622.3031510109,200000,804622.3031510109
2018-07-18,1004164.2830288496,200000,804164.2830288496
2018-07-19,998177.949762803,200000,798177.949762803
2018-07-20,1005701.299869034,200000,805701.299869034
2018-07-21,1006735.8475144702,200000,806735.8475144702
2018-07-22,1009366.742913842,200000,809366.742913842
2018-07-23,1009240.0587734765,200000,809240.0587734765
2018-07-24,997102.263488853,200000,797102.263488853
2018-07-25,999321.0469443994,200000,799321.0469443994
2018-07-26,1006604.9102953547,200000,806604.9102953547
2018-07-27,1006618.2255292089,200000,806618.2255292089
2018-07-28,1006644.0960215145,200000,806644.0960215145
2018-07-29,1023352.0768585944,200000,823352.0768585944
2018-07-30,1006962.4337741231,200000,806962.4337741231
2018-07-31,1009805.3712368967,200000,809805.3712368967
2018-08-01,1008917.1136687961,200000,808917.1136687961
2018-08-02,1007423.6229231956,200000,807423.6229231956
2018-08-03,1002609.8822588014,200000,802609.8822588014
2018-08-04,1008000.6363998059,200000,808000.6363998059
2018-08-05,1000361.2260399881,200000,800361.2260399881
2018-08-06,1003060.8208943125,200000,803060.8208943125
2018-08-07,1001837.6580042035,200000,801837.6580042035
2018-08-08,1004693.408255617,200000,804693.408255617
2018-08-09,1015876.8922073895,200000,815876.8922073895
2018-08-10,994986.8352263996,200000,794986.8352263996
2018-08-11,1007774.0239565674,200000,807774.0239565674
2018-08-12,996298.705464083,200000,796298.705464083
2018-08-13,1002022.1873064205,200000,802022.1873064205
2018-08-14,1009846.161435541,200000,809846.161435541
2018-08-15,1004742.370361518,200000,804742.370361518
2018-08-16,999051.8081917305,200000,799051.8081917305
2018-08-17,1000883.5753504137,200000,800883.5753504137
2018-08-18,1007877.6444567235,200000,807877.6444567235
2018-08-19,1000847.3843688008,200000,800847.3843688008
2018-08-20,1005601.0722906329,200000,805601.0722906329
2018-08-21,1004766.2003575785,200000,804766.2003575785
2018-08-22,1001299.9012353668,200000,801299.9012353668
2018-08-23,1015297.185235359,200000,815297.185235359
2018-08-24,1007766.6217156589,200000,807766.6217156589
2018-08-25,994490.8754861172,200000,794490.8754861172
2018-08-26,1005568.4218085889,200000,805568.4218085889
2018-08-27,1001346.7797262362,200000,801346.7797262362
2018-08-28,1008937.4405393958,200000,808937.4405393958
2018-08-29,1000732.2319885876,200000,800732.2319885876
2018-08-30,1004140.7152887532,200000,804140.7152887532
2018-08-31,1007258.8957063264,200000,807258.8957063264
2018-09-01,1009082.2970976111,200000,809082.2970976111
2018-09-02,998771.600906818,200000,798771.600906818
2018-09-03,1003120.1385782287,200000,803120.1385782287
2018-09-04,1002437.4800169651,200000,802437.4800169651
2018-09-05,1001565.1222252378,200000,801565.1222252378
2018-09-06,1013678.6014048483,200000,813678.6014048483
2018-09-07,1006895.800573584,200000,806895.800573584
2018-09-08,998586.0340624405,200000,798586.0340624405
2018-09-09,1009499.325384726,200000,809499.325384726
2018-09-10,1015540.3584498519,200000,815540.3584498519
2018-09-11,1010111.4655828809,200000,810111.4655828809
2018-09-12,997371.8512656916,200000,797371.8512656916
2018-09-13,1002567.0925464669,200000,802567.0925464669
2018-09-14,1011342.3804720676,200000,811342.3804720676
2018-09-15,1001489.039213377,200000,801489.039213377
2018-09-16,1007266.0454975386,200000,807266.0454975386
2018-09-17,1008939.6804392906,200000,808939.6804392906
2018-09-18,1000451.41962959,200000,800451.41962959
2018-09-19,1004808.0070225078,200000,804808.0070225078
2018-09-20,988918.8589178079,200000,788918.8589178079
2018-09-21,1000022.8192268183,200000,800022.8192268183
2018-09-22,1003901.4784918604,200000,803901.4784918604
2018-09-23,998944.9651543385,200000,798944.9651543385
2018-09-24,1013365.4993991574,200000,813365.4993991574
2018-09-25,998072.2978050325,200000,798072.2978050325
2018-09-26,1003042.3440766871,200000,803042.3440766871
2018-09-27,1005915.831211939,200000,805915.831211939
2018-09-28,1012488.0565861756,200000,812488.0565861756
2018-09-29,998121.9412002843,200000,798121.9412002843
2018-09-30,1011136.6325322927,200000,811136.6325322927
2018-10-01,1005391.5408919523,200000,805391.5408919523
2018-10-02,1000452.3941469511,200000,800452.3941469511
2018-10-03,1007690.0165888437,200000,807690.0165888437
2018-10-04,1006394.3595107312,200000,806394.3595107312
2018-10-05,1002417.5384624063,200000,802417.5384624063
2018-10-06,1005787.1950884868,200000,805787.1950884868
2018-10-07,1003531.1784945644,200000,803531.1784945644
2018-10-08,1006044.895020466,200000,806044.895020466
2018-10-09,1008807.5234821513,200000,808807.5234821513
2018-10-10,1013446.5160056093,200000,813446.5160056093
2018-10-11,999346.9162460848,200000,799346.9162460848
2018-10-12,1016220.7224288369,200000,816220.7224288369
2018-10-13,995814.6783732795,200000,795814.6783732795
2018-10-14,1004835.7537110505,200000,804835.7537110505
2018-10-15,1008555.8270339877,200000,808555.8270339877
2018-10-16,1007038.7621555765,200000,807038.7621555765
2018-10-17,1002539.8670331348,200000,802539.8670331348
2018-10-18,1004632.3151957879,200000,804632.3151957879
2018-10-19,1003227.4835896166,200000,803227.4835896166
2018-10-20,1002765.2262935261,200000,802765.2262935261
2018-10-21,1009979.6223786888,200000,809979.6223786888
2018-10-22,1007536.2511387453,200000,807536.2511387453
2018-10-23,1002306.1875479533,200000,802306.1875479533
2018-10-24,1010288.2967167593,200000,810288.2967167593
2018-10-25,1007346.3567593126,200000,807346.3567593126
2018-10-26,1009893.7315644608,200000,809893.7315644608
2018-10-27,1008997.1269952205,200000,808997.1269952205
2018-10-28,1001723.5695463285,200000,801723.5695463285
2018-10-29,1003087.2012152906,200000,803087.2012152906
2018-10-30,1009644.1362572281,200000,809644.1362572281
2018-10-31,1008979.0813741157,200000,808979.0813741157
2018-11-01,1005842.283892464,200000,805842.283892464
2018-11-02,1006552.9905941652,200000,806552.9905941652
2018-11-03,1012374.2399718998,200000,812374.2399718998
2018-11-04,1003047.620364115,200000,803047.620364115
2018-11-05,1008760.5260294809,200000,808760.5260294809
2018-11-06,1005033.6376767976,200000,805033.6376767976
2018-11-07,1004975.7567381675,200000,804975.7567381675
2018-11-08,1011577.6088295759,200000,811577.6088295759
2018-11-09,1010230.3681299166,200000,810230.3681299166
2018-11-10,1010190.3963803161,200000,810190.3963803161
2018-11-11,1012669.804051421,200000,812669.804051421
2018-11-12,1006266.9910391497,200000,806266.9910391497
2018-11-13,1009591.2985027971,200000,809591.2985027971
2018-11-14,1004649.7616786915,200000,804649.7616786915
2018-11-15,1007841.4890394375,200000,807841.4890394375
2018-11-16,1005589.5038204934,200000,805589.5038204934
2018-11-17,1006744.7607326318,200000,806744.7607326318
2018-11-18,1009255.1278501893,200000,809255.1278501893
2018-11-19,1002207.8011221738,200000,802207.8011221738
2018-11-20,1016780.402732105,200000,816780.402732105
2018-11-21,1001307.9412615156,200000,801307.9412615156
2018-11-22,1000286.646920412,200000,800286.646920412
2018-11-23,1012167.7061671874,200000,812167.7061671874
2018-11-24,1010355.0270848382,200000,810355.0270848382
2018-11-25,1009536.8745156208,200000,809536.8745156208
2018-11-26,1009577.5647920178,200000,809577.5647920178
2018-11-27,1006394.1651967984,200000,806394.1651967984
2018-11-28,1001988.6890189402,200000,801988.6890189402
2018-11-29,1006873.5454826745,200000,806873.5454826745
2018-11-30,1003128.2759494818,200000,803128.2759494818
2018-12-01,1011409.2449894676,200000,811409.2449894676
2018-12-02,1005817.9212302045,200000,805817.9212302045
2018-12-03,1002445.2839690892,200000,802445.2839690892
2018-12-04,1004985.4025601232,200000,804985.4025601232
2018-12-05,1008676.5508551027,200000,808676.5508551027
2018-12-06,1003812.8326350412,200000,803812.8326350412
2018-12-07,1002539.9152365654,200000,802539.9152365654
2018-12-08,1007889.0150871936,200000,807889.0150871936
2018-12-09,1007914.9737006141,200000,807914.9737006141
2018-12-10,1004174.9867835513,200000,804174.9867835513
2018-12-11,1004374.0729476518,200000,804374.0729476518
2018-12-12,1007909.075977868,200000,807909.075977868
2018-12-13,999527.9663989297,200000,799527.9663989297
2018-12-14,999750.63104987,200000,799750.63104987
2018-12-15,1003215.2906308271,200000,803215.2906308271
2018-12-16,1005759.8377938665,200000,805759.8377938665
2018-12-17,1008401.1731957522,200000,808401.1731957522
2018-12-18,1014242.9782678464,200000,814242.9782678464
2018-12-19,1011174.0571144453,200000,811174.0571144453
2018-12-20,1006105.6281639545,200000,806105.6281639545
2018-12-21,1006829.8015895946,200000,806829.8015895946
2018-12-22,1001931.7976212555,200000,801931.7976212555
2018-12-23,1006871.440579819,200000,806871.440579819
2018-12-24,1005540.2748805167,200000,805540.2748805167
2018-12-25,1008616.7226921443,200000,808616.7226921443
2018-12-26,1002886.5369880288,200000,802886.5369880288
2018-12-27,1009638.9860923326,200000,809638.9860923326
2018-12-28,1014725.5099014762,200000,814725.5099014762
2018-12-29,1006537.5764095155,200000,806537.5764095155
2018-12-30,1009109.4975776309,200000,809109.4975776309
2018-12-31,1010571.2207410282,200000,810571.2207410282
2019-01-01,1005133.9602383799,200000,805133.9602383799
2019-01-02,1008280.0868221977,200000,808280.0868221977
2019-01-03,1007242.148232391,200000,807242.148232391
2019-01-04,1007687.1285365627,200000,807687.1285365627
2019-01-05,1003353.2609398776,200000,803353.2609398776
2019-01-06,1007360.4225457861,200000,807360.4225457861
2019-01-07,1009747.4249460552,200000,809747.4249460552
2019-01-08,1014532.7133441396,200000,814532.7133441396
2019-01-09,1012092.9112509269,200000,812092.9112509269
2019-01-10,1018082.031223395,200000,818082.031223395
2019-01-11,1003498.9429367335,200000,803498.9429367335
2019-01-12,1011716.8457501136,200000,811716.8457501136
2019-01-13,1008291.5144105385,200000,808291.5144105385
2019-01-14,1018343.3808632715,200000,818343.3808632715
2019-01-15,1003372.4365857438,200000,803372.4365857438
2019-01-16,1003234.8806169522,200000,803234.8806169522
2019-01-17,1004456.0884159724,200000,804456.0884159724
2019-01-18,996853.1348369799,200000,796853.1348369799
2019-01-19,1004863.4001654617,200000,804863.4001654617
2019-01-20,1003716.0737814334,200000,803716.0737814334
2019-01-21,1008283.2678369194,200000,808283.2678369194
2019-01-22,1009259.6405987607,200000,809259.6405987607
2019-01-23,1016951.2767312907,200000,816951.2767312907
2019-01-24,1012342.103541478,200000,812342.103541478
2019-01-25,1004725.0278875722,200000,804725.0278875722
2019-01-26,1003137.0346244789,200000,803137.0346244789
2019-01-27,1010108.2656540897,200000,810108.2656540897
2019-01-28,1001067.0655767904,200000,801067.0655767904
2019-01-29,1016845.0872565019,200000,816845.0872565019
2019-01-30,1013604.555846173,200000,813604.555846173
2019-01-31,1005381.0387973795,200000,805381.0387973795
2019-02-01,999180.8062277851,200000,799180.8062277851
2019-02-02,1014535.402559403,200000,814535.402559403
2019-02-03,1007212.9032776493,200000,807212.9032776493
2019-02-04,1013994.2458791162,200000,813994.2458791162
2019-02-05,999852.5878406134,200000,799852.5878406134
2019-02-06,1004847.4128351529,200000,804847.4128351529
2019-02-07,1007890.0682638491,200000,807890.0682638491
2019-02-08,1008118.3145494184,200000,808118.3145494184
2019-02-09,1005652.6460385349,200000,805652.6460385349
2019-02-10,1011036.7848730051,200000,811036.7848730051
2019-02-11,1002603.9948796912,200000,802603.9948796912
2019-02-12,1007249.7614168341,200000,807249.7614168341
2019-02-13,1008582.6988158366,200000,808582.6988158366
2019-02-14,1010572.9766429072,200000,810572.9766429072
2019-02-15,1011578.4186783944,200000,811578.4186783944
2019-02-16,1002416.695644097,200000,802416.695644097
2019-02-17,1000388.8970649447,200000,800388.8970649447
2019-02-18,1014467.4138434519,200000,814467.4138434519
2019-02-19,1009760.1616091938,200000,809760.1616091938
2019-02-20,1004375.7206818495,200000,804375.7206818495
2019-02-21,1015893.4750575813,200000,815893.4750575813
2019-02-22,1008735.6501667695,200000,808735.6501667695
2019-02-23,1014073.3247309608,200000,814073.3247309608
2019-02-24,1008533.9930330287,200000,808533.9930330287
2019-02-25,1018519.7020657245,200000,818519.7020657245
2019-02-26,1017012.2284688671,200000,817012.2284688671
2019-02-27,1007010.2653295922,200000,807010.2653295922
2019-02-28,1013132.5026420958,200000,813132.5026420958
2019-03-01,1011521.0894505862,200000,811521.0894505862
2019-03-02,1015156.9293056587,200000,815156.9293056587
2019-03-03,1003508.7160304328,200000,803508.7160304328
2019-03-04,1011783.152448662,200000,811783.152448662
2019-03-05,1013664.5793982543,200000,813664.5793982543
2019-03-06,999598.3213472272,200000,799598.3213472272
2019-03-07,1002495.2880313504,200000,802495.2880313504
2019-03-08,998234.9815212152,200000,798234.9815212152
2019-03-09,1007103.6700531293,200000,807103.6700531293
2019-03-10,1012057.9773196684,200000,812057.9773196684
2019-03-11,1016001.6131165052,200000,816001.6131165052
2019-03-12,1008879.8635734604,200000,808879.8635734604
2019-03-13,1016672.0292145545,200000,816672.0292145545
2019-03-14,1001648.00601096,200000,801648.00601096
2019-03-15,1000051.1629205951,200000,800051.1629205951
2019-03-16,1008309.8984382243,200000,808309.8984382243
2019-03-17,1010527.5259927404,200000,810527.5259927404
2019-03-18,1008463.2868229098,200000,808463.2868229098
2019-03-19,998309.1118785174,200000,798309.1118785174
2019-03-20,1008220.2839964892,200000,808220.2839964892
2019-03-21,1002163.0985068654,200000,802163.0985068654
2019-03-22,1012053.3705688764,200000,812053.3705688764
2019-03-23,1010557.5608705468,200000,810557.5608705468
2019-03-24,1004044.7325237623,200000,804044.7325237623
2019-03-25,1006194.3586840521,200000,806194.3586840521
2019-03-26,1003487.1874766273,200000,803487.1874766273
2019-03-27,1008489.4214150426,200000,808489.4214150426
2019-03-28,1013598.0903192512,200000,813598.0903192512
2019-03-29,1003913.3103004037,200000,803913.3103004037
2019-03-30,1011381.7349250071,200000,811381.7349250071
2019-03-31,1006229.7760708921,200000,806229.7760708921
2019-04-01,1004936.261816779,200000,804936.261816779
2019-04-02,1008385.0359936545,200000,808385.0359936545
2019-04-03,1003763.5379966669,200000,803763.5379966669
2019-04-04,1006191.0648973642,200000,806191.0648973642
2019-04-05,1002989.4837764924,200000,802989.4837764924
2019-04-06,1018822.060719355,200000,818822.060719355
2019-04-07,1009194.3146299683,200000,809194.3146299683
2019-04-08,1005538.9311454832,200000,805538.9311454832
2019-04-09,1010127.0200544536,200000,810127.0200544536
2019-04-10,1008515.0420676648,200000,808515.0420676648
2019-04-11,1007991.3961337893,200000,807991.3961337893
2019-04-12,1012186.6394470091,200000,812186.6394470091
2019-04-13,1012922.9063123649,200000,812922.9063123649
2019-04-14,1006502.4238394122,200000,806502.4238394122
2019-04-15,1006295.4001895778,200000,806295.4001895778
2019-04-16,1007818.7947223795,200000,807818.7947223795
2019-04-17,997704.0091997962,200000,797704.0091997962
2019-04-18,1001657.2215278179,200000,801657.2215278179
2019-04-19,1016087.1099913698,200000,816087.1099913698
2019-04-20,1017497.13903699,200000,817497.13903699
2019-04-21,1008046.6820870382,200000,808046.6820870382
2019-04-22,1012194.2089154354,200000,812194.2089154354
2019-04-23,1010887.2366882106,200000,810887.2366882106
2019-04-24,1024744.9517731057,200000,824744.9517731057
2019-04-25,1014967.9841033388,200000,814967.9841033388
2019-04-26,1008750.0834040985,200000,808750.0834040985
2019-04-27,1004631.5309738367,200000,804631.5309738367
2019-04-28,1001396.5633908875,200000,801396.5633908875
2019-04-29,1010465.6749868479,200000,810465.6749868479
2019-04-30,1005686.1648964267,200000,805686.1648964267
2019-05-01,1002376.2118901963,200000,802376.2118901963
2019-05-02,1006274.1778323086,200000,806274.1778323086
2019-05-03,1004118.8640507857,200000,804118.8640507857
2019-05-04,1017981.8740595569,200000,817981.8740595569
2019-05-05,1013973.9264842778,200000,813973.9264842778
2019-05-06,1009545.4263082839,200000,809545.4263082839
2019-05-07,1017004.5720246535,200000,817004.5720246535
2019-05-08,1010011.254683778,200000,810011.254683778
2019-05-09,1005337.553954235,200000,805337.553954235
2019-05-10,1017279.1571625612,200000,817279.1571625612
2019-05-11,1012377.6488099726,200000,812377.6488099726
2019-05-12,1004516.4296352535,200000,804516.4296352535
2019-05-13,1008770.5288318042,200000,808770.5288318042
2019-05-14,1005363.6927706349,200000,805363.6927706349
2019-05-15,1002847.3471980735,200000,802847.3471980735
2019-05-16,1014411.7954058899,200000,814411.7954058899
2019-05-17,1019347.5526859188,200000,819347.5526859188
2019-05-18,1002827.1934298088,200000,802827.1934298088
2019-05-19,1012654.4392976939,200000,812654.4392976939
2019-05-20,1006605.9420839683,200000,806605.9420839683
2019-05-21,1007443.0898260905,200000,807443.0898260905
2019-05-22,1006936.3089390561,200000,806936.3089390561
2019-05-23,1005597.8865271878,200000,805597.8865271878
2019-05-24,1010180.0103306475,200000,810180.0103306475
2019-05-25,1005802.2134242046,200000,805802.2134242046
2019-05-26,1011328.8099504955,200000,811328.8099504955
2019-05-27,1009744.8970896871,200000,809744.8970896871
2019-05-28,1008820.9092179372,200000,808820.9092179372
2019-05-29,1005497.3929573976,200000,805497.3929573976
2019-05-30,1007170.9164301004,200000,807170.9164301004
2019-05-31,1013851.2910274074,200000,813851.2910274074
2019-06-01,1012598.4826517369,200000,812598.4826517369
2019-06-02,1005225.6823049587,200000,805225.6823049587
2019-06-03,1010629.6818714341,200000,810629.6818714341
2019-06-04,1013909.5177764834,200000,813909.5177764834
2019-06-05,1001825.117569354,200000,801825.117569354
2019-06-06,1012908.506752197,200000,812908.506752197
2019-06-07,1006898.1488109046,200000,806898.1488109046
2019-06-08,1013083.8227639361,200000,813083.8227639361
